record_id,factory_id,factory_name,latitude,longitude,production_line,machine_id,machine_type,timestamp,shift,units_produced,machine_hours,defects,defect_level,operator_id,operator_notes,date
R00000,F003,South Plant,12.9627477,77.59047812,Line-A,F003_Line-A_CNC_5,CNC,02-02-2025 10:16,Evening,105,6.44,1,Low,OP015,calibration,02-02-2025
R00001,F003,South Plant,12.97135545,77.59815551,Line-A,F003_Line-A_Lathe_9,Lathe,12-01-2025 17:57,Evening,75,7.51,2,Low,OP038,vibration power,12-01-2025
R00002,F001,North Plant,28.71540228,77.10623119,Line-A,F001_Line-A_CNC_4,CNC,07-03-2025 08:57,Day,136,8.05,0,None,OP039,power,07-03-2025
R00003,F003,South Plant,12.94981666,77.58416104,Line-A,F003_Line-A_Lathe_9,Lathe,23-02-2025 19:33,Day,56,5.38,1,Low,OP015,normal operation,23-02-2025
R00004,F002,East Plant,19.07863486,72.89411771,Line-C,F002_Line-C_CNC_1,CNC,22-01-2025 04:52,Day,126,8.79,8,High,OP045,normal operation,22-01-2025
R00005,F002,East Plant,19.06923078,72.88381676,Line-B,F002_Line-B_CNC_4,CNC,14-02-2025 09:40,Evening,109,6.79,0,None,OP007,none,14-02-2025
R00006,F002,East Plant,19.06091847,72.88869647,Line-A,F002_Line-A_Press_6,Press,20-03-2025 19:10,Evening,108,8.54,1,Low,OP017,normal operation,20-03-2025
R00007,F001,North Plant,28.70771636,77.0960488,Line-C,F001_Line-C_Press_2,Press,18-02-2025 23:02,Day,91,7.69,6,High,OP006,normal operation,18-02-2025
R00008,F003,South Plant,12.97247047,77.59160993,Line-B,F003_Line-B_Robot_10,Robot,17-02-2025 08:01,Evening,174,10.39,1,Low,OP037,vibration,17-02-2025
R00009,F003,South Plant,12.96351506,77.58958243,Line-A,F003_Line-A_CNC_4,CNC,08-02-2025 03:31,Night,56,3.47,1,Low,OP006,power,08-02-2025
R00010,F001,North Plant,28.7015337,77.09882174,Line-B,F001_Line-B_CNC_6,CNC,22-01-2025 17:15,Night,102,7.49,4,Medium,OP024,normal operation,22-01-2025
R00011,F002,East Plant,19.06693013,72.86952646,Line-A,F002_Line-A_Lathe_2,Lathe,20-03-2025 23:13,Night,58,5.8,2,Low,OP041,vibration,20-03-2025
R00012,F003,South Plant,12.96087468,77.58467414,Line-C,F003_Line-C_CNC_8,CNC,18-02-2025 17:56,Evening,96,6.07,1,Low,OP018,power overheat vibration,18-02-2025
R00013,F003,South Plant,12.98302823,77.60211933,Line-C,F003_Line-C_CNC_6,CNC,09-01-2025 03:42,Evening,99,6.5,1,Low,OP015,normal operation,09-01-2025
R00014,F001,North Plant,28.71199673,77.10681489,Line-B,F001_Line-B_Press_2,Press,29-01-2025 15:11,Day,81,7.18,3,Medium,OP037,jam none lubrication,29-01-2025
R00015,F002,East Plant,19.08028013,72.85300301,Line-A,F002_Line-A_Lathe_7,Lathe,24-03-2025 07:43,Evening,58,5.53,1,Low,OP030,normal operation,24-03-2025
R00016,F001,North Plant,28.70085509,77.10044133,Line-B,F001_Line-B_CNC_9,CNC,11-03-2025 10:01,Evening,126,8.5,2,Low,OP017,none misalignment jam,11-03-2025
R00017,F003,South Plant,12.96479975,77.59692254,Line-B,F003_Line-B_Robot_7,Robot,16-02-2025 10:00,Day,183,9.41,4,Medium,OP015,normal operation,16-02-2025
R00018,F001,North Plant,28.71144501,77.09295503,Line-C,F001_Line-C_Press_1,Press,16-01-2025 06:53,Day,85,6.89,3,Medium,OP010,normal operation,16-01-2025
R00019,F003,South Plant,12.96914612,77.58706264,Line-A,F003_Line-A_Robot_7,Robot,18-03-2025 13:28,Evening,121,6.53,2,Low,OP005,normal operation,18-03-2025
R00020,F002,East Plant,19.10334422,72.87863765,Line-B,F002_Line-B_Lathe_8,Lathe,09-03-2025 11:10,Night,47,5.14,2,Low,OP017,normal operation,09-03-2025
R00021,F003,South Plant,12.96936537,77.60174,Line-A,F003_Line-A_Lathe_2,Lathe,29-03-2025 09:26,Evening,71,6.56,6,High,OP035,normal operation,29-03-2025
R00022,F002,East Plant,19.06673953,72.87257035,Line-C,F002_Line-C_Press_5,Press,26-02-2025 09:53,Night,78,6.01,2,Low,OP011,normal operation,26-02-2025
R00023,F002,East Plant,19.07658209,72.8662703,Line-A,F002_Line-A_Milling_5,Milling,07-03-2025 13:50,Evening,82,6.85,3,Medium,OP049,normal operation,07-03-2025
R00024,F001,North Plant,28.70714449,77.10507207,Line-C,F001_Line-C_Milling_5,Milling,24-03-2025 07:57,Evening,92,7.7,3,Medium,OP033,normal operation,24-03-2025
R00025,F003,South Plant,12.96844731,77.60218969,Line-A,F003_Line-A_CNC_3,CNC,12-03-2025 02:23,Evening,125,8.62,4,Medium,OP050,normal operation,12-03-2025
R00026,F003,South Plant,12.96745468,77.59540199,Line-A,F003_Line-A_Lathe_8,Lathe,03-01-2025 13:07,Evening,67,6.68,3,Medium,OP008,normal operation,03-01-2025
R00027,F002,East Plant,19.0926377,72.87030764,Line-B,F002_Line-B_CNC_4,CNC,14-03-2025 11:06,Evening,101,6.38,3,Medium,OP006,misalignment,14-03-2025
R00028,F003,South Plant,12.96825753,77.59142153,Line-B,F003_Line-B_Robot_9,Robot,18-01-2025 00:12,Day,150,7.07,1,Low,OP009,none sensor jam,18-01-2025
R00029,F002,East Plant,19.09722156,72.88802465,Line-C,F002_Line-C_CNC_9,CNC,20-03-2025 07:17,Evening,75,4.37,4,Medium,OP028,normal operation,20-03-2025
R00030,F001,North Plant,28.69115058,77.10144881,Line-C,F001_Line-C_Robot_4,Robot,09-02-2025 11:19,Day,150,7.38,1,Low,OP026,normal operation,09-02-2025
R00031,F003,South Plant,12.98323164,77.59470233,Line-C,F003_Line-C_Press_9,Press,27-02-2025 19:14,Evening,63,4.82,1,Low,OP008,normal operation,27-02-2025
R00032,F001,North Plant,28.68512623,77.11530541,Line-A,F001_Line-A_CNC_1,CNC,17-03-2025 09:38,Day,129,8.5,3,Medium,OP036,normal operation,17-03-2025
R00033,F001,North Plant,28.70690992,77.096273,Line-C,F001_Line-C_CNC_2,CNC,22-03-2025 15:44,Evening,150,9.92,7,High,OP004,normal operation,22-03-2025
R00034,F001,North Plant,28.70772014,77.10831314,Line-A,F001_Line-A_Milling_6,Milling,10-01-2025 22:31,Night,62,5.2,3,Medium,OP033,normal operation,10-01-2025
R00035,F001,North Plant,28.71687665,77.09658429,Line-B,F001_Line-B_Lathe_4,Lathe,11-03-2025 15:30,Day,97,10.07,9,High,OP009,normal operation,11-03-2025
R00036,F003,South Plant,12.96834027,77.62713985,Line-C,F003_Line-C_Lathe_4,Lathe,03-03-2025 11:07,Night,59,6.68,3,Medium,OP027,jam,03-03-2025
R00037,F001,North Plant,28.69067687,77.06885904,Line-A,F001_Line-A_Lathe_6,Lathe,24-02-2025 11:44,Day,63,6.09,6,High,OP027,normal operation,24-02-2025
R00038,F002,East Plant,19.07690073,72.8785273,Line-C,F002_Line-C_CNC_2,CNC,09-01-2025 20:43,Day,162,11.71,7,High,OP026,normal operation,09-01-2025
R00039,F003,South Plant,12.97605507,77.57998243,Line-B,F003_Line-B_Robot_2,Robot,01-02-2025 21:41,Day,183,9.59,0,None,OP013,normal operation,01-02-2025
R00040,F001,North Plant,28.69390659,77.11081958,Line-C,F001_Line-C_Press_7,Press,25-01-2025 06:49,Evening,86,7.54,2,Low,OP018,normal operation,25-01-2025
R00041,F002,East Plant,19.08154693,72.88503173,Line-A,F002_Line-A_Robot_2,Robot,26-02-2025 13:55,Day,122,6.82,0,None,OP036,normal operation,26-02-2025
R00042,F001,North Plant,28.68513253,77.10849093,Line-A,F001_Line-A_Lathe_9,Lathe,02-01-2025 07:35,Day,95,9.08,4,Medium,OP006,normal operation,02-01-2025
R00043,F001,North Plant,28.71846755,77.095483,Line-A,F001_Line-A_Press_8,Press,28-01-2025 23:11,Evening,95,7.25,7,High,OP026,normal operation,28-01-2025
R00044,F001,North Plant,28.69653094,77.09374921,Line-A,F001_Line-A_Press_7,Press,03-02-2025 23:36,Day,87,6.47,3,Medium,OP030,normal operation,03-02-2025
R00045,F002,East Plant,19.06279767,72.89601459,Line-B,F002_Line-B_Lathe_9,Lathe,26-03-2025 08:05,Day,64,7.26,1,Low,OP046,vibration lubrication,26-03-2025
R00046,F001,North Plant,28.70685635,77.10528723,Line-A,F001_Line-A_CNC_1,CNC,17-03-2025 21:39,Night,86,5.88,1,Low,OP048,normal operation,17-03-2025
R00047,F003,South Plant,12.96709935,77.6008285,Line-A,F003_Line-A_Lathe_1,Lathe,08-01-2025 02:52,Day,61,6.1,3,Medium,OP038,normal operation,08-01-2025
R00048,F002,East Plant,19.06772107,72.87466136,Line-C,F002_Line-C_Milling_9,Milling,21-01-2025 08:12,Night,69,5.45,3,Medium,OP004,normal operation,21-01-2025
R00049,F003,South Plant,12.96911036,77.60431571,Line-A,F003_Line-A_Robot_2,Robot,19-03-2025 06:02,Evening,184,9.79,2,Low,OP005,normal operation,19-03-2025
R00050,F003,South Plant,12.95429127,77.60904339,Line-A,F003_Line-A_Press_10,Press,02-02-2025 12:45,Evening,117,9.14,0,None,OP038,normal operation,02-02-2025
R00051,F003,South Plant,12.95456618,77.59404452,Line-A,F003_Line-A_Lathe_7,Lathe,27-03-2025 16:46,Day,77,8.45,3,Medium,OP038,normal operation,27-03-2025
R00052,F003,South Plant,12.95395873,77.60959889,Line-C,F003_Line-C_Press_5,Press,28-01-2025 08:24,Day,99,8.48,1,Low,OP043,none power power,28-01-2025
R00053,F002,East Plant,19.06234335,72.88274107,Line-A,F002_Line-A_CNC_3,CNC,27-03-2025 10:51,Evening,119,8.43,2,Low,OP042,normal operation,27-03-2025
R00054,F002,East Plant,19.0638151,72.86609675,Line-B,F002_Line-B_Press_2,Press,02-01-2025 17:36,Day,120,9.63,3,Medium,OP030,normal operation,02-01-2025
R00055,F003,South Plant,12.96423588,77.60039504,Line-C,F003_Line-C_Milling_2,Milling,11-03-2025 01:18,Evening,62,4.9,2,Low,OP014,misalignment jam calibration,11-03-2025
R00056,F002,East Plant,19.08176557,72.8808125,Line-A,F002_Line-A_Milling_2,Milling,01-02-2025 16:52,Day,65,5.02,2,Low,OP024,normal operation,01-02-2025
